INFO: heron_usv_controller: Starting controller: python.exe -u heron_usv_controller.py
USV figure-8 (open-loop, no sensors) controller started.
t=5.95, vL=5.04, vR=4.96, w=-0.04
t=6.00, vL=5.03, vR=4.97, w=-0.03
t=6.05, vL=5.03, vR=4.97, w=-0.03
t=6.10, vL=5.02, vR=4.98, w=-0.02
t=6.15, vL=5.01, vR=4.99, w=-0.01
t=6.20, vL=5.01, vR=4.99, w=-0.01
t=6.25, vL=5.00, vR=5.00, w=-0.00
t=6.30, vL=5.00, vR=5.00, w=0.00
t=6.35, vL=4.99, vR=5.01, w=0.01
t=6.40, vL=4.99, vR=5.01, w=0.01
t=6.45, vL=4.98, vR=5.02, w=0.02
t=6.50, vL=4.98, vR=5.02, w=0.02
t=6.55, vL=4.97, vR=5.03, w=0.03
t=6.60, vL=4.97, vR=5.03, w=0.03
t=6.65, vL=4.96, vR=5.04, w=0.04
t=6.70, vL=4.96, vR=5.04, w=0.04
t=6.75, vL=4.95, vR=5.05, w=0.05
t=6.80, vL=4.95, vR=5.05, w=0.05
t=6.85, vL=4.94, vR=5.06, w=0.06
t=6.90, vL=4.94, vR=5.06, w=0.06
t=6.95, vL=4.93, vR=5.07, w=0.07
t=7.00, vL=4.93, vR=5.07, w=0.07
t=7.05, vL=4.92, vR=5.08, w=0.08
t=7.10, vL=4.92, vR=5.08, w=0.08
t=7.15, vL=4.92, vR=5.08, w=0.08
t=7.20, vL=4.91, vR=5.09, w=0.09
t=7.25, vL=4.91, vR=5.09, w=0.09
t=7.30, vL=4.91, vR=5.09, w=0.09
t=7.35, vL=4.90, vR=5.10, w=0.10
t=7.40, vL=4.90, vR=5.10, w=0.10
t=7.45, vL=4.90, vR=5.10, w=0.10
t=7.50, vL=4.90, vR=5.10, w=0.10
t=7.55, vL=4.90, vR=5.10, w=0.10
t=7.60, vL=4.89, vR=5.11, w=0.11
t=7.65, vL=4.89, vR=5.11, w=0.11
t=7.70, vL=4.89, vR=5.11, w=0.11
t=7.75, vL=4.89, vR=5.11, w=0.11
t=7.80, vL=4.89, vR=5.11, w=0.11
t=7.85, vL=4.89, vR=5.11, w=0.11
t=7.90, vL=4.89, vR=5.11, w=0.11
t=7.95, vL=4.89, vR=5.11, w=0.11
t=8.00, vL=4.89, vR=5.11, w=0.11
t=8.05, vL=4.89, vR=5.11, w=0.11
t=8.10, vL=4.89, vR=5.11, w=0.11
t=8.15, vL=4.89, vR=5.11, w=0.11
t=8.20, vL=4.90, vR=5.10, w=0.10
t=8.25, vL=4.90, vR=5.10, w=0.10
t=8.30, vL=4.90, vR=5.10, w=0.10
t=8.35, vL=4.90, vR=5.10, w=0.10
t=8.40, vL=4.91, vR=5.09, w=0.09
t=8.45, vL=4.91, vR=5.09, w=0.09
t=8.50, vL=4.91, vR=5.09, w=0.09
t=8.55, vL=4.92, vR=5.08, w=0.08
t=8.60, vL=4.92, vR=5.08, w=0.08
t=8.65, vL=4.92, vR=5.08, w=0.08
t=8.70, vL=4.93, vR=5.07, w=0.07
t=8.75, vL=4.93, vR=5.07, w=0.07
t=8.80, vL=4.94, vR=5.06, w=0.06
t=8.85, vL=4.94, vR=5.06, w=0.06
t=8.90, vL=4.94, vR=5.06, w=0.06
t=8.95, vL=4.95, vR=5.05, w=0.05
t=9.00, vL=4.95, vR=5.05, w=0.05
t=9.05, vL=4.96, vR=5.04, w=0.04
t=9.10, vL=4.96, vR=5.04, w=0.04
t=9.15, vL=4.97, vR=5.03, w=0.03
t=9.20, vL=4.98, vR=5.02, w=0.02
t=9.25, vL=4.98, vR=5.02, w=0.02
t=9.30, vL=4.99, vR=5.01, w=0.01
t=9.35, vL=4.99, vR=5.01, w=0.01
t=9.40, vL=5.00, vR=5.00, w=0.00
t=9.45, vL=5.00, vR=5.00, w=-0.00
t=9.50, vL=5.01, vR=4.99, w=-0.01
t=9.55, vL=5.01, vR=4.99, w=-0.01
t=9.60, vL=5.02, vR=4.98, w=-0.02
t=9.65, vL=5.02, vR=4.98, w=-0.02
t=9.70, vL=5.03, vR=4.97, w=-0.03
t=9.75, vL=5.04, vR=4.96, w=-0.04
t=9.80, vL=5.04, vR=4.96, w=-0.04
t=9.85, vL=5.05, vR=4.95, w=-0.05
t=9.90, vL=5.05, vR=4.95, w=-0.05
t=9.95, vL=5.06, vR=4.94, w=-0.06
t=10.00, vL=5.06, vR=4.94, w=-0.06
t=10.05, vL=5.06, vR=4.94, w=-0.06
t=10.10, vL=5.07, vR=4.93, w=-0.07
t=10.15, vL=5.07, vR=4.93, w=-0.07
t=10.20, vL=5.08, vR=4.92, w=-0.08
t=10.25, vL=5.08, vR=4.92, w=-0.08
t=10.30, vL=5.08, vR=4.92, w=-0.08
t=10.35, vL=5.09, vR=4.91, w=-0.09
t=10.40, vL=5.09, vR=4.91, w=-0.09
t=10.45, vL=5.09, vR=4.91, w=-0.09
t=10.50, vL=5.10, vR=4.90, w=-0.10
t=10.55, vL=5.10, vR=4.90, w=-0.10
t=10.60, vL=5.10, vR=4.90, w=-0.10
t=10.65, vL=5.10, vR=4.90, w=-0.10
t=10.70, vL=5.11, vR=4.89, w=-0.11
t=10.75, vL=5.11, vR=4.89, w=-0.11
t=10.80, vL=5.11, vR=4.89, w=-0.11
t=10.85, vL=5.11, vR=4.89, w=-0.11
t=10.90, vL=5.11, vR=4.89, w=-0.11
t=10.95, vL=5.11, vR=4.89, w=-0.11
t=11.00, vL=5.11, vR=4.89, w=-0.11
t=11.05, vL=5.11, vR=4.89, w=-0.11
t=11.10, vL=5.11, vR=4.89, w=-0.11
t=11.15, vL=5.11, vR=4.89, w=-0.11
t=11.20, vL=5.11, vR=4.89, w=-0.11
t=11.25, vL=5.11, vR=4.89, w=-0.11
t=11.30, vL=5.10, vR=4.90, w=-0.10
t=11.35, vL=5.10, vR=4.90, w=-0.10
t=11.40, vL=5.10, vR=4.90, w=-0.10
t=11.45, vL=5.10, vR=4.90, w=-0.10
t=11.50, vL=5.10, vR=4.90, w=-0.10
t=11.55, vL=5.09, vR=4.91, w=-0.09
t=11.60, vL=5.09, vR=4.91, w=-0.09
t=11.65, vL=5.09, vR=4.91, w=-0.09
t=11.70, vL=5.08, vR=4.92, w=-0.08
t=11.75, vL=5.08, vR=4.92, w=-0.08
t=11.80, vL=5.08, vR=4.92, w=-0.08
t=11.85, vL=5.07, vR=4.93, w=-0.07
t=11.90, vL=5.07, vR=4.93, w=-0.07
t=11.95, vL=5.06, vR=4.94, w=-0.06
t=12.00, vL=5.06, vR=4.94, w=-0.06
t=12.05, vL=5.05, vR=4.95, w=-0.05
t=12.10, vL=5.05, vR=4.95, w=-0.05
t=12.15, vL=5.04, vR=4.96, w=-0.04
t=12.20, vL=5.04, vR=4.96, w=-0.04
t=12.25, vL=5.03, vR=4.97, w=-0.03
t=12.30, vL=5.03, vR=4.97, w=-0.03
t=12.35, vL=5.02, vR=4.98, w=-0.02
t=12.40, vL=5.02, vR=4.98, w=-0.02
t=12.45, vL=5.01, vR=4.99, w=-0.01
t=12.50, vL=5.01, vR=4.99, w=-0.01
t=12.55, vL=5.00, vR=5.00, w=-0.00
t=12.60, vL=5.00, vR=5.00, w=0.00
t=12.65, vL=4.99, vR=5.01, w=0.01
t=12.70, vL=4.99, vR=5.01, w=0.01
t=12.75, vL=4.98, vR=5.02, w=0.02
t=12.80, vL=4.97, vR=5.03, w=0.03
t=12.85, vL=4.97, vR=5.03, w=0.03
t=12.90, vL=4.96, vR=5.04, w=0.04
t=12.95, vL=4.96, vR=5.04, w=0.04
t=13.00, vL=4.95, vR=5.05, w=0.05
t=13.05, vL=4.95, vR=5.05, w=0.05
t=13.10, vL=4.94, vR=5.06, w=0.06
t=13.15, vL=4.94, vR=5.06, w=0.06
t=13.20, vL=4.93, vR=5.07, w=0.07
t=13.25, vL=4.93, vR=5.07, w=0.07
t=13.30, vL=4.93, vR=5.07, w=0.07
t=13.35, vL=4.92, vR=5.08, w=0.08
t=13.40, vL=4.92, vR=5.08, w=0.08
t=13.45, vL=4.91, vR=5.09, w=0.09
t=13.50, vL=4.91, vR=5.09, w=0.09
t=13.55, vL=4.91, vR=5.09, w=0.09
t=13.60, vL=4.91, vR=5.09, w=0.09
t=13.65, vL=4.90, vR=5.10, w=0.10
t=13.70, vL=4.90, vR=5.10, w=0.10
t=13.75, vL=4.90, vR=5.10, w=0.10
t=13.80, vL=4.90, vR=5.10, w=0.10
t=13.85, vL=4.89, vR=5.11, w=0.11
t=13.90, vL=4.89, vR=5.11, w=0.11
t=13.95, vL=4.89, vR=5.11, w=0.11
t=14.00, vL=4.89, vR=5.11, w=0.11
t=14.05, vL=4.89, vR=5.11, w=0.11
t=14.10, vL=4.89, vR=5.11, w=0.11
t=14.15, vL=4.89, vR=5.11, w=0.11
t=14.20, vL=4.89, vR=5.11, w=0.11
t=14.25, vL=4.89, vR=5.11, w=0.11
t=14.30, vL=4.89, vR=5.11, w=0.11
t=14.35, vL=4.89, vR=5.11, w=0.11
t=14.40, vL=4.89, vR=5.11, w=0.11
t=14.45, vL=4.90, vR=5.10, w=0.10
t=14.50, vL=4.90, vR=5.10, w=0.10
t=14.55, vL=4.90, vR=5.10, w=0.10
t=14.60, vL=4.90, vR=5.10, w=0.10
t=14.65, vL=4.90, vR=5.10, w=0.10
t=14.70, vL=4.91, vR=5.09, w=0.09
t=14.75, vL=4.91, vR=5.09, w=0.09
t=14.80, vL=4.91, vR=5.09, w=0.09
t=14.85, vL=4.92, vR=5.08, w=0.08
t=14.90, vL=4.92, vR=5.08, w=0.08
t=14.95, vL=4.92, vR=5.08, w=0.08
t=15.00, vL=4.93, vR=5.07, w=0.07
t=15.05, vL=4.93, vR=5.07, w=0.07
t=15.10, vL=4.94, vR=5.06, w=0.06
t=15.15, vL=4.94, vR=5.06, w=0.06
t=15.20, vL=4.95, vR=5.05, w=0.05
t=15.25, vL=4.95, vR=5.05, w=0.05
t=15.30, vL=4.96, vR=5.04, w=0.04
t=15.35, vL=4.96, vR=5.04, w=0.04
t=15.40, vL=4.97, vR=5.03, w=0.03
t=15.45, vL=4.97, vR=5.03, w=0.03
t=15.50, vL=4.98, vR=5.02, w=0.02
t=15.55, vL=4.98, vR=5.02, w=0.02
t=15.60, vL=4.99, vR=5.01, w=0.01
t=15.65, vL=4.99, vR=5.01, w=0.01
t=15.70, vL=5.00, vR=5.00, w=0.00
t=15.75, vL=5.00, vR=5.00, w=-0.00
t=15.80, vL=5.01, vR=4.99, w=-0.01
t=15.85, vL=5.02, vR=4.98, w=-0.02
t=15.90, vL=5.02, vR=4.98, w=-0.02
t=15.95, vL=5.03, vR=4.97, w=-0.03
