INFO: heron_usv_controller: Starting controller: python.exe -u heron_usv_controller.py
USV figure-8 (open-loop, no sensors) controller started.
t=0.05, vL=4.86, vR=5.14, w=0.14
t=0.10, vL=4.72, vR=5.28, w=0.28
t=0.15, vL=4.58, vR=5.42, w=0.42
t=0.20, vL=4.44, vR=5.56, w=0.56
t=0.25, vL=4.30, vR=5.70, w=0.70
t=0.30, vL=4.17, vR=5.83, w=0.83
t=0.35, vL=4.03, vR=5.97, w=0.97
t=0.40, vL=3.90, vR=6.10, w=1.10
t=0.45, vL=3.77, vR=6.23, w=1.23
t=0.50, vL=3.64, vR=6.36, w=1.36
t=0.55, vL=3.51, vR=6.49, w=1.49
t=0.60, vL=3.38, vR=6.62, w=1.62
t=0.65, vL=3.26, vR=6.74, w=1.74
t=0.70, vL=3.14, vR=6.86, w=1.86
t=0.75, vL=3.02, vR=6.98, w=1.98
t=0.80, vL=2.91, vR=7.09, w=2.09
t=0.85, vL=2.80, vR=7.20, w=2.20
t=0.90, vL=2.69, vR=7.31, w=2.31
t=0.95, vL=2.59, vR=7.41, w=2.41
t=1.00, vL=2.49, vR=7.51, w=2.51
t=1.05, vL=2.39, vR=7.61, w=2.61
t=1.10, vL=2.30, vR=7.70, w=2.70
t=1.15, vL=2.22, vR=7.78, w=2.78
t=1.20, vL=2.13, vR=7.87, w=2.87
t=1.25, vL=2.05, vR=7.95, w=2.95
t=1.30, vL=1.98, vR=8.02, w=3.02
t=1.35, vL=1.91, vR=8.09, w=3.09
t=1.40, vL=1.85, vR=8.15, w=3.15
t=1.45, vL=1.79, vR=8.21, w=3.21
t=1.50, vL=1.74, vR=8.26, w=3.26
t=1.55, vL=1.69, vR=8.31, w=3.31
t=1.60, vL=1.65, vR=8.35, w=3.35
t=1.65, vL=1.61, vR=8.39, w=3.39
t=1.70, vL=1.58, vR=8.42, w=3.42
t=1.75, vL=1.55, vR=8.45, w=3.45
t=1.80, vL=1.53, vR=8.47, w=3.47
t=1.85, vL=1.51, vR=8.49, w=3.49
t=1.90, vL=1.50, vR=8.50, w=3.50
t=1.95, vL=1.50, vR=8.50, w=3.50
t=2.00, vL=1.50, vR=8.50, w=3.50
t=2.05, vL=1.51, vR=8.49, w=3.49
t=2.10, vL=1.52, vR=8.48, w=3.48
t=2.15, vL=1.54, vR=8.46, w=3.46
t=2.20, vL=1.56, vR=8.44, w=3.44
t=2.25, vL=1.59, vR=8.41, w=3.41
t=2.30, vL=1.63, vR=8.37, w=3.37
t=2.35, vL=1.67, vR=8.33, w=3.33
t=2.40, vL=1.71, vR=8.29, w=3.29
t=2.45, vL=1.76, vR=8.24, w=3.24
t=2.50, vL=1.82, vR=8.18, w=3.18
t=2.55, vL=1.88, vR=8.12, w=3.12
