INFO: heron_usv_controller: Starting controller: python.exe -u heron_usv_controller.py
USV figure-8 (open-loop, no sensors) controller started.
t=0.05, vL=4.60, vR=5.40, w=0.40
t=0.10, vL=4.20, vR=5.80, w=0.80
t=0.15, vL=3.80, vR=6.20, w=1.20
t=0.20, vL=3.41, vR=6.59, w=1.59
t=0.25, vL=3.02, vR=6.98, w=1.98
t=0.30, vL=2.64, vR=7.36, w=2.36
t=0.35, vL=2.26, vR=7.74, w=2.74
t=0.40, vL=1.88, vR=8.12, w=3.12
t=0.45, vL=1.52, vR=8.48, w=3.48
t=0.50, vL=1.16, vR=8.84, w=3.84
t=0.55, vL=0.82, vR=9.18, w=4.18
t=0.60, vL=0.48, vR=9.52, w=4.52
t=0.65, vL=0.16, vR=9.84, w=4.84
t=0.70, vL=-0.15, vR=10.15, w=5.15
t=0.75, vL=-0.45, vR=10.45, w=5.45
t=0.80, vL=-0.74, vR=10.74, w=5.74
t=0.85, vL=-1.01, vR=11.01, w=6.01
t=0.90, vL=-1.27, vR=11.27, w=6.27
t=0.95, vL=-1.51, vR=11.51, w=6.51
t=1.00, vL=-1.73, vR=11.73, w=6.73
t=1.05, vL=-1.94, vR=11.94, w=6.94
t=1.10, vL=-2.13, vR=12.13, w=7.13
t=1.15, vL=-2.30, vR=12.30, w=7.30
t=1.20, vL=-2.46, vR=12.46, w=7.46
t=1.25, vL=-2.59, vR=12.59, w=7.59
t=1.30, vL=-2.71, vR=12.71, w=7.71
t=1.35, vL=-2.81, vR=12.81, w=7.81
t=1.40, vL=-2.88, vR=12.88, w=7.88
t=1.45, vL=-2.94, vR=12.94, w=7.94
t=1.50, vL=-2.98, vR=12.98, w=7.98
t=1.55, vL=-3.00, vR=13.00, w=8.00
t=1.60, vL=-3.00, vR=13.00, w=8.00
t=1.65, vL=-2.97, vR=12.97, w=7.97
t=1.70, vL=-2.93, vR=12.93, w=7.93
t=1.75, vL=-2.87, vR=12.87, w=7.87
t=1.80, vL=-2.79, vR=12.79, w=7.79
t=1.85, vL=-2.69, vR=12.69, w=7.69
t=1.90, vL=-2.57, vR=12.57, w=7.57
t=1.95, vL=-2.43, vR=12.43, w=7.43
t=2.00, vL=-2.27, vR=12.27, w=7.27
t=2.05, vL=-2.10, vR=12.10, w=7.10
t=2.10, vL=-1.91, vR=11.91, w=6.91
t=2.15, vL=-1.70, vR=11.70, w=6.70
t=2.20, vL=-1.47, vR=11.47, w=6.47
t=2.25, vL=-1.22, vR=11.22, w=6.22
t=2.30, vL=-0.97, vR=10.97, w=5.97
t=2.35, vL=-0.69, vR=10.69, w=5.69
t=2.40, vL=-0.40, vR=10.40, w=5.40
t=2.45, vL=-0.10, vR=10.10, w=5.10
t=2.50, vL=0.21, vR=9.79, w=4.79
t=2.55, vL=0.54, vR=9.46, w=4.46
t=2.60, vL=0.88, vR=9.12, w=4.12
t=2.65, vL=1.22, vR=8.78, w=3.78
t=2.70, vL=1.58, vR=8.42, w=3.42
t=2.75, vL=1.95, vR=8.05, w=3.05
t=2.80, vL=2.32, vR=7.68, w=2.68
t=2.85, vL=2.70, vR=7.30, w=2.30
t=2.90, vL=3.09, vR=6.91, w=1.91
t=2.95, vL=3.48, vR=6.52, w=1.52
t=3.00, vL=3.87, vR=6.13, w=1.13
t=3.05, vL=4.27, vR=5.73, w=0.73
t=3.10, vL=4.67, vR=5.33, w=0.33
t=3.15, vL=5.07, vR=4.93, w=-0.07
t=3.20, vL=5.47, vR=4.53, w=-0.47
t=3.25, vL=5.87, vR=4.13, w=-0.87
t=3.30, vL=6.26, vR=3.74, w=-1.26
t=3.35, vL=6.66, vR=3.34, w=-1.66
t=3.40, vL=7.04, vR=2.96, w=-2.04
t=3.45, vL=7.43, vR=2.57, w=-2.43
t=3.50, vL=7.81, vR=2.19, w=-2.81
t=3.55, vL=8.18, vR=1.82, w=-3.18
t=3.60, vL=8.54, vR=1.46, w=-3.54
t=3.65, vL=8.89, vR=1.11, w=-3.89
t=3.70, vL=9.24, vR=0.76, w=-4.24
t=3.75, vL=9.57, vR=0.43, w=-4.57
t=3.80, vL=9.89, vR=0.11, w=-4.89
t=3.85, vL=10.21, vR=-0.21, w=-5.21
t=3.90, vL=10.50, vR=-0.50, w=-5.50
t=3.95, vL=10.79, vR=-0.79, w=-5.79
t=4.00, vL=11.05, vR=-1.05, w=-6.05
t=4.05, vL=11.31, vR=-1.31, w=-6.31
t=4.10, vL=11.55, vR=-1.55, w=-6.55
t=4.15, vL=11.77, vR=-1.77, w=-6.77
t=4.20, vL=11.97, vR=-1.97, w=-6.97
t=4.25, vL=12.16, vR=-2.16, w=-7.16
t=4.30, vL=12.33, vR=-2.33, w=-7.33
t=4.35, vL=12.48, vR=-2.48, w=-7.48
t=4.40, vL=12.61, vR=-2.61, w=-7.61
t=4.45, vL=12.73, vR=-2.73, w=-7.73
t=4.50, vL=12.82, vR=-2.82, w=-7.82
t=4.55, vL=12.89, vR=-2.89, w=-7.89
t=4.60, vL=12.95, vR=-2.95, w=-7.95
t=4.65, vL=12.98, vR=-2.98, w=-7.98
t=4.70, vL=13.00, vR=-3.00, w=-8.00
t=4.75, vL=12.99, vR=-2.99, w=-7.99
t=4.80, vL=12.97, vR=-2.97, w=-7.97
t=4.85, vL=12.92, vR=-2.92, w=-7.92
t=4.90, vL=12.86, vR=-2.86, w=-7.86
t=4.95, vL=12.78, vR=-2.78, w=-7.78
t=5.00, vL=12.67, vR=-2.67, w=-7.67
t=5.05, vL=12.55, vR=-2.55, w=-7.55
t=5.10, vL=12.41, vR=-2.41, w=-7.41
t=5.15, vL=12.25, vR=-2.25, w=-7.25
t=5.20, vL=12.07, vR=-2.07, w=-7.07
t=5.25, vL=11.87, vR=-1.87, w=-6.87
t=5.30, vL=11.66, vR=-1.66, w=-6.66
t=5.35, vL=11.43, vR=-1.43, w=-6.43
t=5.40, vL=11.18, vR=-1.18, w=-6.18
t=5.45, vL=10.92, vR=-0.92, w=-5.92
t=5.50, vL=10.64, vR=-0.64, w=-5.64
t=5.55, vL=10.35, vR=-0.35, w=-5.35
t=5.60, vL=10.05, vR=-0.05, w=-5.05
t=5.65, vL=9.73, vR=0.27, w=-4.73
t=5.70, vL=9.41, vR=0.59, w=-4.41
t=5.75, vL=9.07, vR=0.93, w=-4.07
t=5.80, vL=8.72, vR=1.28, w=-3.72
t=5.85, vL=8.36, vR=1.64, w=-3.36
t=5.90, vL=7.99, vR=2.01, w=-2.99
t=5.95, vL=7.62, vR=2.38, w=-2.62
t=6.00, vL=7.24, vR=2.76, w=-2.24
t=6.05, vL=6.85, vR=3.15, w=-1.85
t=6.10, vL=6.46, vR=3.54, w=-1.46
t=6.15, vL=6.06, vR=3.94, w=-1.06
t=6.20, vL=5.66, vR=4.34, w=-0.66
t=6.25, vL=5.27, vR=4.73, w=-0.27
t=6.30, vL=4.87, vR=5.13, w=0.13
t=6.35, vL=4.47, vR=5.53, w=0.53
t=6.40, vL=4.07, vR=5.93, w=0.93
t=6.45, vL=3.67, vR=6.33, w=1.33
t=6.50, vL=3.28, vR=6.72, w=1.72
t=6.55, vL=2.89, vR=7.11, w=2.11
t=6.60, vL=2.51, vR=7.49, w=2.49
t=6.65, vL=2.13, vR=7.87, w=2.87
t=6.70, vL=1.76, vR=8.24, w=3.24
t=6.75, vL=1.40, vR=8.60, w=3.60
t=6.80, vL=1.05, vR=8.95, w=3.95
t=6.85, vL=0.70, vR=9.30, w=4.30
t=6.90, vL=0.37, vR=9.63, w=4.63
t=6.95, vL=0.05, vR=9.95, w=4.95
t=7.00, vL=-0.26, vR=10.26, w=5.26
t=7.05, vL=-0.55, vR=10.55, w=5.55
t=7.10, vL=-0.83, vR=10.83, w=5.83
t=7.15, vL=-1.10, vR=11.10, w=6.10
t=7.20, vL=-1.35, vR=11.35, w=6.35
t=7.25, vL=-1.58, vR=11.58, w=6.58
t=7.30, vL=-1.80, vR=11.80, w=6.80
t=7.35, vL=-2.01, vR=12.01, w=7.01
t=7.40, vL=-2.19, vR=12.19, w=7.19
t=7.45, vL=-2.36, vR=12.36, w=7.36
t=7.50, vL=-2.50, vR=12.50, w=7.50
t=7.55, vL=-2.63, vR=12.63, w=7.63
t=7.60, vL=-2.74, vR=12.74, w=7.74
t=7.65, vL=-2.83, vR=12.83, w=7.83
t=7.70, vL=-2.91, vR=12.91, w=7.91
t=7.75, vL=-2.96, vR=12.96, w=7.96
t=7.80, vL=-2.99, vR=12.99, w=7.99
t=7.85, vL=-3.00, vR=13.00, w=8.00
t=7.90, vL=-2.99, vR=12.99, w=7.99
t=7.95, vL=-2.96, vR=12.96, w=7.96
t=8.00, vL=-2.91, vR=12.91, w=7.91
t=8.05, vL=-2.85, vR=12.85, w=7.85
t=8.10, vL=-2.76, vR=12.76, w=7.76
t=8.15, vL=-2.65, vR=12.65, w=7.65
t=8.20, vL=-2.53, vR=12.53, w=7.53
t=8.25, vL=-2.38, vR=12.38, w=7.38
t=8.30, vL=-2.22, vR=12.22, w=7.22
t=8.35, vL=-2.04, vR=12.04, w=7.04
t=8.40, vL=-1.84, vR=11.84, w=6.84
t=8.45, vL=-1.62, vR=11.62, w=6.62
t=8.50, vL=-1.39, vR=11.39, w=6.39
t=8.55, vL=-1.14, vR=11.14, w=6.14
t=8.60, vL=-0.88, vR=10.88, w=5.88
t=8.65, vL=-0.60, vR=10.60, w=5.60
t=8.70, vL=-0.30, vR=10.30, w=5.30
t=8.75, vL=0.00, vR=10.00, w=5.00
t=8.80, vL=0.32, vR=9.68, w=4.68
t=8.85, vL=0.65, vR=9.35, w=4.35
t=8.90, vL=0.99, vR=9.01, w=4.01
t=8.95, vL=1.34, vR=8.66, w=3.66
t=9.00, vL=1.70, vR=8.30, w=3.30
t=9.05, vL=2.07, vR=7.93, w=2.93
t=9.10, vL=2.45, vR=7.55, w=2.55
t=9.15, vL=2.83, vR=7.17, w=2.17
t=9.20, vL=3.22, vR=6.78, w=1.78
t=9.25, vL=3.61, vR=6.39, w=1.39
t=9.30, vL=4.00, vR=6.00, w=1.00
t=9.35, vL=4.40, vR=5.60, w=0.60
t=9.40, vL=4.80, vR=5.20, w=0.20
t=9.45, vL=5.20, vR=4.80, w=-0.20
t=9.50, vL=5.60, vR=4.40, w=-0.60
t=9.55, vL=6.00, vR=4.00, w=-1.00
t=9.60, vL=6.39, vR=3.61, w=-1.39
t=9.65, vL=6.79, vR=3.21, w=-1.79
t=9.70, vL=7.17, vR=2.83, w=-2.17
t=9.75, vL=7.56, vR=2.44, w=-2.56
t=9.80, vL=7.93, vR=2.07, w=-2.93
t=9.85, vL=8.30, vR=1.70, w=-3.30
t=9.90, vL=8.66, vR=1.34, w=-3.66
t=9.95, vL=9.01, vR=0.99, w=-4.01
t=10.00, vL=9.35, vR=0.65, w=-4.35
t=10.05, vL=9.68, vR=0.32, w=-4.68
t=10.10, vL=10.00, vR=-0.00, w=-5.00
t=10.15, vL=10.31, vR=-0.31, w=-5.31
t=10.20, vL=10.60, vR=-0.60, w=-5.60
t=10.25, vL=10.88, vR=-0.88, w=-5.88
t=10.30, vL=11.14, vR=-1.14, w=-6.14
t=10.35, vL=11.39, vR=-1.39, w=-6.39
t=10.40, vL=11.62, vR=-1.62, w=-6.62
t=10.45, vL=11.84, vR=-1.84, w=-6.84
t=10.50, vL=12.04, vR=-2.04, w=-7.04
t=10.55, vL=12.22, vR=-2.22, w=-7.22
t=10.60, vL=12.38, vR=-2.38, w=-7.38
t=10.65, vL=12.53, vR=-2.53, w=-7.53
t=10.70, vL=12.65, vR=-2.65, w=-7.65
t=10.75, vL=12.76, vR=-2.76, w=-7.76
t=10.80, vL=12.85, vR=-2.85, w=-7.85
t=10.85, vL=12.92, vR=-2.92, w=-7.92
t=10.90, vL=12.96, vR=-2.96, w=-7.96
t=10.95, vL=12.99, vR=-2.99, w=-7.99
t=11.00, vL=13.00, vR=-3.00, w=-8.00
t=11.05, vL=12.99, vR=-2.99, w=-7.99
t=11.10, vL=12.96, vR=-2.96, w=-7.96
t=11.15, vL=12.90, vR=-2.90, w=-7.90
t=11.20, vL=12.83, vR=-2.83, w=-7.83
t=11.25, vL=12.74, vR=-2.74, w=-7.74
t=11.30, vL=12.63, vR=-2.63, w=-7.63
t=11.35, vL=12.50, vR=-2.50, w=-7.50
t=11.40, vL=12.35, vR=-2.35, w=-7.35
t=11.45, vL=12.19, vR=-2.19, w=-7.19
t=11.50, vL=12.00, vR=-2.00, w=-7.00
t=11.55, vL=11.80, vR=-1.80, w=-6.80
t=11.60, vL=11.58, vR=-1.58, w=-6.58
t=11.65, vL=11.35, vR=-1.35, w=-6.35
t=11.70, vL=11.10, vR=-1.10, w=-6.10
t=11.75, vL=10.83, vR=-0.83, w=-5.83
t=11.80, vL=10.55, vR=-0.55, w=-5.55
t=11.85, vL=10.25, vR=-0.25, w=-5.25
t=11.90, vL=9.95, vR=0.05, w=-4.95
t=11.95, vL=9.62, vR=0.38, w=-4.62
t=12.00, vL=9.29, vR=0.71, w=-4.29
t=12.05, vL=8.95, vR=1.05, w=-3.95
t=12.10, vL=8.60, vR=1.40, w=-3.60
t=12.15, vL=8.24, vR=1.76, w=-3.24
t=12.20, vL=7.87, vR=2.13, w=-2.87
t=12.25, vL=7.49, vR=2.51, w=-2.49
t=12.30, vL=7.11, vR=2.89, w=-2.11
t=12.35, vL=6.72, vR=3.28, w=-1.72
t=12.40, vL=6.32, vR=3.68, w=-1.32
t=12.45, vL=5.93, vR=4.07, w=-0.93
t=12.50, vL=5.53, vR=4.47, w=-0.53
t=12.55, vL=5.13, vR=4.87, w=-0.13
t=12.60, vL=4.73, vR=5.27, w=0.27
t=12.65, vL=4.33, vR=5.67, w=0.67
t=12.70, vL=3.93, vR=6.07, w=1.07
t=12.75, vL=3.54, vR=6.46, w=1.46
t=12.80, vL=3.15, vR=6.85, w=1.85
t=12.85, vL=2.76, vR=7.24, w=2.24
t=12.90, vL=2.38, vR=7.62, w=2.62
t=12.95, vL=2.01, vR=7.99, w=2.99
t=13.00, vL=1.64, vR=8.36, w=3.36
t=13.05, vL=1.28, vR=8.72, w=3.72
t=13.10, vL=0.93, vR=9.07, w=4.07
t=13.15, vL=0.59, vR=9.41, w=4.41
t=13.20, vL=0.26, vR=9.74, w=4.74
t=13.25, vL=-0.05, vR=10.05, w=5.05
t=13.30, vL=-0.36, vR=10.36, w=5.36
t=13.35, vL=-0.65, vR=10.65, w=5.65
t=13.40, vL=-0.92, vR=10.92, w=5.92
t=13.45, vL=-1.18, vR=11.18, w=6.18
t=13.50, vL=-1.43, vR=11.43, w=6.43
t=13.55, vL=-1.66, vR=11.66, w=6.66
t=13.60, vL=-1.87, vR=11.87, w=6.87
t=13.65, vL=-2.07, vR=12.07, w=7.07
t=13.70, vL=-2.25, vR=12.25, w=7.25
t=13.75, vL=-2.41, vR=12.41, w=7.41
t=13.80, vL=-2.55, vR=12.55, w=7.55
t=13.85, vL=-2.67, vR=12.67, w=7.67
t=13.90, vL=-2.78, vR=12.78, w=7.78
t=13.95, vL=-2.86, vR=12.86, w=7.86
t=14.00, vL=-2.92, vR=12.92, w=7.92
t=14.05, vL=-2.97, vR=12.97, w=7.97
t=14.10, vL=-2.99, vR=12.99, w=7.99
t=14.15, vL=-3.00, vR=13.00, w=8.00
t=14.20, vL=-2.98, vR=12.98, w=7.98
t=14.25, vL=-2.95, vR=12.95, w=7.95
t=14.30, vL=-2.89, vR=12.89, w=7.89
t=14.35, vL=-2.82, vR=12.82, w=7.82
t=14.40, vL=-2.73, vR=12.73, w=7.73
t=14.45, vL=-2.61, vR=12.61, w=7.61
t=14.50, vL=-2.48, vR=12.48, w=7.48
t=14.55, vL=-2.33, vR=12.33, w=7.33
t=14.60, vL=-2.16, vR=12.16, w=7.16
t=14.65, vL=-1.97, vR=11.97, w=6.97
t=14.70, vL=-1.77, vR=11.77, w=6.77
t=14.75, vL=-1.54, vR=11.54, w=6.54
t=14.80, vL=-1.31, vR=11.31, w=6.31
t=14.85, vL=-1.05, vR=11.05, w=6.05
t=14.90, vL=-0.78, vR=10.78, w=5.78
t=14.95, vL=-0.50, vR=10.50, w=5.50
t=15.00, vL=-0.20, vR=10.20, w=5.20
t=15.05, vL=0.11, vR=9.89, w=4.89
t=15.10, vL=0.43, vR=9.57, w=4.57
t=15.15, vL=0.76, vR=9.24, w=4.24
t=15.20, vL=1.11, vR=8.89, w=3.89
t=15.25, vL=1.46, vR=8.54, w=3.54
t=15.30, vL=1.83, vR=8.17, w=3.17
t=15.35, vL=2.20, vR=7.80, w=2.80
t=15.40, vL=2.58, vR=7.42, w=2.42
t=15.45, vL=2.96, vR=7.04, w=2.04
t=15.50, vL=3.35, vR=6.65, w=1.65
t=15.55, vL=3.74, vR=6.26, w=1.26
t=15.60, vL=4.14, vR=5.86, w=0.86
t=15.65, vL=4.54, vR=5.46, w=0.46
t=15.70, vL=4.94, vR=5.06, w=0.06
t=15.75, vL=5.34, vR=4.66, w=-0.34
t=15.80, vL=5.74, vR=4.26, w=-0.74
t=15.85, vL=6.13, vR=3.87, w=-1.13
t=15.90, vL=6.53, vR=3.47, w=-1.53
t=15.95, vL=6.92, vR=3.08, w=-1.92
t=16.00, vL=7.30, vR=2.70, w=-2.30
t=16.05, vL=7.68, vR=2.32, w=-2.68
t=16.10, vL=8.06, vR=1.94, w=-3.06
t=16.15, vL=8.42, vR=1.58, w=-3.42
t=16.20, vL=8.78, vR=1.22, w=-3.78
t=16.25, vL=9.13, vR=0.87, w=-4.13
t=16.30, vL=9.46, vR=0.54, w=-4.46
t=16.35, vL=9.79, vR=0.21, w=-4.79
t=16.40, vL=10.10, vR=-0.10, w=-5.10
t=16.45, vL=10.41, vR=-0.41, w=-5.41
t=16.50, vL=10.69, vR=-0.69, w=-5.69
t=16.55, vL=10.97, vR=-0.97, w=-5.97
t=16.60, vL=11.23, vR=-1.23, w=-6.23
t=16.65, vL=11.47, vR=-1.47, w=-6.47
t=16.70, vL=11.70, vR=-1.70, w=-6.70
t=16.75, vL=11.91, vR=-1.91, w=-6.91
t=16.80, vL=12.10, vR=-2.10, w=-7.10
t=16.85, vL=12.28, vR=-2.28, w=-7.28
t=16.90, vL=12.43, vR=-2.43, w=-7.43
t=16.95, vL=12.57, vR=-2.57, w=-7.57
t=17.00, vL=12.69, vR=-2.69, w=-7.69
t=17.05, vL=12.79, vR=-2.79, w=-7.79
t=17.10, vL=12.87, vR=-2.87, w=-7.87
t=17.15, vL=12.93, vR=-2.93, w=-7.93
t=17.20, vL=12.98, vR=-2.98, w=-7.98
t=17.25, vL=13.00, vR=-3.00, w=-8.00
t=17.30, vL=13.00, vR=-3.00, w=-8.00
t=17.35, vL=12.98, vR=-2.98, w=-7.98
t=17.40, vL=12.94, vR=-2.94, w=-7.94
t=17.45, vL=12.88, vR=-2.88, w=-7.88
t=17.50, vL=12.81, vR=-2.81, w=-7.81
t=17.55, vL=12.71, vR=-2.71, w=-7.71
t=17.60, vL=12.59, vR=-2.59, w=-7.59
t=17.65, vL=12.46, vR=-2.46, w=-7.46
t=17.70, vL=12.30, vR=-2.30, w=-7.30
t=17.75, vL=12.13, vR=-2.13, w=-7.13
t=17.80, vL=11.94, vR=-1.94, w=-6.94
t=17.85, vL=11.73, vR=-1.73, w=-6.73
t=17.90, vL=11.51, vR=-1.51, w=-6.51
t=17.95, vL=11.26, vR=-1.26, w=-6.26
t=18.00, vL=11.01, vR=-1.01, w=-6.01
t=18.05, vL=10.74, vR=-0.74, w=-5.74
t=18.10, vL=10.45, vR=-0.45, w=-5.45
t=18.15, vL=10.15, vR=-0.15, w=-5.15
t=18.20, vL=9.84, vR=0.16, w=-4.84
t=18.25, vL=9.51, vR=0.49, w=-4.51
t=18.30, vL=9.18, vR=0.82, w=-4.18
t=18.35, vL=8.83, vR=1.17, w=-3.83
t=18.40, vL=8.48, vR=1.52, w=-3.48
t=18.45, vL=8.11, vR=1.89, w=-3.11
t=18.50, vL=7.74, vR=2.26, w=-2.74
t=18.55, vL=7.36, vR=2.64, w=-2.36
t=18.60, vL=6.98, vR=3.02, w=-1.98
t=18.65, vL=6.59, vR=3.41, w=-1.59
t=18.70, vL=6.19, vR=3.81, w=-1.19
t=18.75, vL=5.80, vR=4.20, w=-0.80
t=18.80, vL=5.40, vR=4.60, w=-0.40
t=18.85, vL=5.00, vR=5.00, w=0.00
t=18.90, vL=4.60, vR=5.40, w=0.40
t=18.95, vL=4.20, vR=5.80, w=0.80
t=19.00, vL=3.80, vR=6.20, w=1.20
t=19.05, vL=3.41, vR=6.59, w=1.59
t=19.10, vL=3.02, vR=6.98, w=1.98
t=19.15, vL=2.63, vR=7.37, w=2.37
t=19.20, vL=2.25, vR=7.75, w=2.75
t=19.25, vL=1.88, vR=8.12, w=3.12
t=19.30, vL=1.52, vR=8.48, w=3.48
t=19.35, vL=1.16, vR=8.84, w=3.84
t=19.40, vL=0.82, vR=9.18, w=4.18
t=19.45, vL=0.48, vR=9.52, w=4.52
t=19.50, vL=0.16, vR=9.84, w=4.84
t=19.55, vL=-0.16, vR=10.16, w=5.16
t=19.60, vL=-0.46, vR=10.46, w=5.46
t=19.65, vL=-0.74, vR=10.74, w=5.74
t=19.70, vL=-1.01, vR=11.01, w=6.01
t=19.75, vL=-1.27, vR=11.27, w=6.27
t=19.80, vL=-1.51, vR=11.51, w=6.51
t=19.85, vL=-1.73, vR=11.73, w=6.73
t=19.90, vL=-1.94, vR=11.94, w=6.94
t=19.95, vL=-2.13, vR=12.13, w=7.13
t=20.00, vL=-2.30, vR=12.30, w=7.30
t=20.05, vL=-2.46, vR=12.46, w=7.46
t=20.10, vL=-2.59, vR=12.59, w=7.59
t=20.15, vL=-2.71, vR=12.71, w=7.71
t=20.20, vL=-2.81, vR=12.81, w=7.81
t=20.25, vL=-2.88, vR=12.88, w=7.88
t=20.30, vL=-2.94, vR=12.94, w=7.94
t=20.35, vL=-2.98, vR=12.98, w=7.98
t=20.40, vL=-3.00, vR=13.00, w=8.00
t=20.45, vL=-3.00, vR=13.00, w=8.00
t=20.50, vL=-2.97, vR=12.97, w=7.97
t=20.55, vL=-2.93, vR=12.93, w=7.93
t=20.60, vL=-2.87, vR=12.87, w=7.87
t=20.65, vL=-2.79, vR=12.79, w=7.79
t=20.70, vL=-2.69, vR=12.69, w=7.69
t=20.75, vL=-2.57, vR=12.57, w=7.57
t=20.80, vL=-2.43, vR=12.43, w=7.43
t=20.85, vL=-2.27, vR=12.27, w=7.27
t=20.90, vL=-2.10, vR=12.10, w=7.10
t=20.95, vL=-1.90, vR=11.90, w=6.90
t=21.00, vL=-1.69, vR=11.69, w=6.69
t=21.05, vL=-1.47, vR=11.47, w=6.47
t=21.10, vL=-1.22, vR=11.22, w=6.22
t=21.15, vL=-0.96, vR=10.96, w=5.96
t=21.20, vL=-0.69, vR=10.69, w=5.69
t=21.25, vL=-0.40, vR=10.40, w=5.40
t=21.30, vL=-0.10, vR=10.10, w=5.10
t=21.35, vL=0.22, vR=9.78, w=4.78
t=21.40, vL=0.54, vR=9.46, w=4.46
t=21.45, vL=0.88, vR=9.12, w=4.12
t=21.50, vL=1.23, vR=8.77, w=3.77
t=21.55, vL=1.58, vR=8.42, w=3.42
t=21.60, vL=1.95, vR=8.05, w=3.05
t=21.65, vL=2.32, vR=7.68, w=2.68
t=21.70, vL=2.70, vR=7.30, w=2.30
t=21.75, vL=3.09, vR=6.91, w=1.91
t=21.80, vL=3.48, vR=6.52, w=1.52
t=21.85, vL=3.87, vR=6.13, w=1.13
t=21.90, vL=4.27, vR=5.73, w=0.73
t=21.95, vL=4.67, vR=5.33, w=0.33
t=22.00, vL=5.07, vR=4.93, w=-0.07
